VEÍCULO CESTO AÉREO – CAÇAMBA UNITÁRIA (LV PRIMÁRIA),29
VEÍCULO CESTO AÉREO – CAÇAMBA UNITÁRIA (LM PRIMÁRIA),32
VEÍCULO PESADO – DIGGER DERRICK,34
VEÍCULO PESADO - GUINDAUTO,36
VEÍCULO PESADO – GUINDAUTO CABINADO,38
ELETRICISTA LINHA MORTA – 15KV,40
ELETRICISTA LINHA MORTA – 25KV,42
ELETRICISTA LINHA VIVA – 15KV,44
ELETRICISTA LINHA VIVA – 25KV,46
FERRAMENTAL KIT DA BASE OPERACIONAL,48
FERRAMENTAS UTILIZADAS PELO VIABILIZADOR DE OBRAS,50
FERRAMENTAS UTILIZADAS PELO MONTADOR DE ESTRUTURA,51
INSPEÇÃO DE FERRAMENTAS E EQUIPAMENTOS,52
COMPOSIÇÃO DE JOGOS E CONJUNTOS,53
KIT DE RESGATE EM ALTURA,56
TABELAS DE CABOS PROTEGIDOS LUVAS E MANGAS ISOLANTES,57
DIRIGIR E POSICIONAR O VEÍCULO,58
SINALIZAR O VEÍCULO,61
COMUNICAÇÃO COM O CENTRO DE OPERAÇÕES,64
ELABORAR A APR / PLANEJAMENTO,66
SINALIZAR / DELIMITAR A ÁREA DE TRABALHO,68
VERIFICAR OU INSPECIONAR POSTE / ESTRUTURA,70
UTILIZAR SUPORTE DE APOIO PARA POSTE,74