Resgate em altura – DIGGER DERRICK;6
Medição de concordância de fase;7
Instalação de poste – DIGGER DERRICK;10
Retirada de poste – DIGGER DERRICK;14
Substituição de poste – DIGGER DERRICK;18
Substituição de estrutura tipo 2 fim de linha – com cruzeta auxiliar;23
Transformação de estrutura tipo 2 fim de linha para estrutura tipo 3;29
Substituição de uma cruzeta em estrutura tipo 2;34
Substituição de cruzeta em estrutura tipo 3;39
Substituição de cruzeta em estrutura tipo 1 – lado oposto;43
Instalação de espaçador losangular;47
Instalação de transformado;52
Instalação de religadora somente na condição de chave normalmente aberta;56
Instalação de equipamento de medição;62
CONTROLE DE REGISTROS;66
ANEXOS;67
REGISTRO DE ALTERAÇÕES;69