Preparação de ferramentas, equipamentos e materiais;18
Instalação e retirada de cabos protegidos para jumper provisório;20
Instalação e retirada do conjunto da cruzeta auxiliar;24
Medição de concordância de fas;27
Resgaste em altura – Cesto Aéreo;29
Instalação de chave faca unipola;
Substituição e manutenção de chave faca unipola;35
Substituição e manutenção de chave faca unipolar fase A (meio);39
Substituição e manutenção de chave faca unipolar fase B (calçada);43
Instalação de chave fusível ou repetidora;47
Substituição e manutenção de chave fusível ou repetidora fase V (rua);51
Substituição e manutenção de chave fusível ou repetidora fase A (meio);55
Substituição e manutenção de chave fusível ou repetidora fase B (calçada);60
Instalação de chave Omni Rupte;65
Instalação de para-raios Poliméricos;68
Substituição de cruzeta em posto de manobra com chave faca;71
Substituição de cruzetas em posto de manobra com chave fusíve;76
Substituição de cruzeta em posto de manobra com chave a óleo;81
Substituição de chave a óleo;87
Substituição de estrutura N1 e M1 – com conjunto de suspenção;93
Substituição de cruzeta em estrutura B1 – com conjunto de suspençã;97
Substituição de cruzeta em estrutura tipo 1 – lado oposto;101
Substituição de estrutura N1 e M1 para B1 – com conjunto de suspensão;105